month,cancelled_orders,total_orders,cancel_rate_pct
2016-09,2.0,4.0,50.0
2016-10,24.0,324.0,7.41
2016-12,0.0,1.0,0.0
2017-01,3.0,800.0,0.38
2017-02,17.0,1780.0,0.96
2017-03,33.0,2682.0,1.23
2017-04,18.0,2404.0,0.75
2017-05,29.0,3700.0,0.78
2017-06,16.0,3245.0,0.49
2017-07,28.0,4026.0,0.7
2017-08,27.0,4331.0,0.62
2017-09,20.0,4285.0,0.47
2017-10,26.0,4631.0,0.56
2017-11,37.0,7544.0,0.49
2017-12,11.0,5673.0,0.19
2018-01,34.0,7269.0,0.47
2018-02,73.0,6728.0,1.09
2018-03,26.0,7211.0,0.36
2018-04,15.0,6939.0,0.22
2018-05,24.0,6873.0,0.35
2018-06,18.0,6167.0,0.29
2018-07,41.0,6292.0,0.65
2018-08,84.0,6512.0,1.29
2018-09,15.0,16.0,93.75
2018-10,4.0,4.0,100.0
